date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:53	47311/47311	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:47%20GMT	https://www.alomariya.org/category/%d8%b4%d8%b9%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%b1/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b4%d8%b9%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%b1/index.html	(from https://www.alomariya.org/)
12:08:53	1040/1040	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jun%202017%2004:27:48%20GMT	https://www.alomariya.org/wp-content/themes/alomariya/assets/images/next.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/themes/alomariya/assets/images/next.png	(from https://www.alomariya.org/)
12:08:54	49208/49208	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:47%20GMT	https://www.alomariya.org/%d8%a7%d9%84%d8%ad%d9%83%d9%85/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/%d8%a7%d9%84%d8%ad%d9%83%d9%85/index.html	(from https://www.alomariya.org/)
12:08:54	47641/47641	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:49%20GMT	https://www.alomariya.org/category/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%86%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%8a/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%86%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%8a/index.html	(from https://www.alomariya.org/)
12:08:54	54843/54843	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:49%20GMT	https://www.alomariya.org/category/%d8%b4%d8%a8%d9%87-%d8%a7%d9%84%d9%85%d9%86%d9%83%d8%b1%d9%8a%d9%80%d9%80%d9%80%d9%86/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b4%d8%a8%d9%87-%d8%a7%d9%84%d9%85%d9%86%d9%83%d8%b1%d9%8a%d9%80%d9%80%d9%80%d9%86/index.html	(from https://www.alomariya.org/)
12:08:55	55938/55938	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:49%20GMT	https://www.alomariya.org/category/%d8%a7%d8%b3%d8%aa%d8%af%d8%b1%d8%a7%d9%83%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%aa/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a7%d8%b3%d8%aa%d8%af%d8%b1%d8%a7%d9%83%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%aa/index.html	(from https://www.alomariya.org/)
12:08:55	1013/1013	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jun%202017%2004:27:50%20GMT	https://www.alomariya.org/wp-content/themes/alomariya/assets/images/prev.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/themes/alomariya/assets/images/prev.png	(from https://www.alomariya.org/)
12:08:57	43103/43103	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:51%20GMT	https://www.alomariya.org/category/%d8%a3%d8%b3%d9%80%d8%b1%d8%a7%d8%b1-%d8%a7%d9%84%d8%b3%d9%80%d9%8a%d8%b1%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a3%d8%b3%d9%80%d8%b1%d8%a7%d8%b1-%d8%a7%d9%84%d8%b3%d9%80%d9%8a%d8%b1%d8%a9/index.html	(from https://www.alomariya.org/)
12:08:57	44742/44742	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:51%20GMT	https://www.alomariya.org/%d8%a7%d9%84%d8%b5%d9%84%d9%88%d8%a7%d8%aa/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/%d8%a7%d9%84%d8%b5%d9%84%d9%88%d8%a7%d8%aa/index.html	(from https://www.alomariya.org/)
12:08:57	52366/52366	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:51%20GMT	https://www.alomariya.org/category/%d8%b4%d8%a8%d9%87-%d8%a7%d9%84%d9%85%d8%aa%d8%b5%d9%88%d9%81%d9%80%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b4%d8%a8%d9%87-%d8%a7%d9%84%d9%85%d8%aa%d8%b5%d9%88%d9%81%d9%80%d8%a9/index.html	(from https://www.alomariya.org/)
